epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,800.808,1.16291,0.85903,1.30346,0.5347,0.46516,0.48349,0.27272,2.29871,2.54638,2.59163,0.000525859,0.000525859,0.000525859
135,806.186,1.06428,0.83714,1.28295,0.74317,0.41854,0.52031,0.27418,2.28824,2.54806,2.5964,0.000521459,0.000521459,0.000521459
136,812.09,1.06422,0.85926,1.26644,0.71344,0.4407,0.47155,0.24836,2.32205,2.52541,2.60999,0.000517059,0.000517059,0.000517059
137,817.724,1.03974,0.8084,1.22882,0.72184,0.39865,0.45766,0.23372,2.39629,2.503,2.65053,0.00051266,0.00051266,0.00051266
138,823.547,1.00279,0.76725,1.21973,0.67311,0.42832,0.47754,0.24847,2.2753,2.47642,2.5794,0.00050826,0.00050826,0.00050826
139,829.633,1.0218,0.83643,1.24937,0.7084,0.47539,0.50303,0.25614,2.34984,2.60681,2.63031,0.000503861,0.000503861,0.000503861
140,834.838,0.98384,0.75447,1.22516,0.66066,0.49023,0.4907,0.23756,2.33337,2.39863,2.53233,0.000499461,0.000499461,0.000499461
141,840.894,1.02742,0.87903,1.24399,0.81876,0.3912,0.48002,0.23952,2.36117,2.39608,2.57948,0.000495062,0.000495062,0.000495062
142,846.55,0.95304,0.74834,1.18579,0.58659,0.48378,0.46342,0.27144,2.32307,2.61595,2.63421,0.000490662,0.000490662,0.000490662
143,852.865,1.06909,0.80613,1.25473,0.76625,0.44233,0.50326,0.27876,2.17514,2.74901,2.54907,0.000486262,0.000486262,0.000486262
144,858.624,1.06922,0.85864,1.24473,0.66202,0.53447,0.51365,0.26866,2.22793,2.82701,2.53613,0.000481863,0.000481863,0.000481863
145,864.632,1.00747,0.77837,1.23152,0.65976,0.47964,0.50443,0.25108,2.41144,2.56594,2.69907,0.000477463,0.000477463,0.000477463
146,870.237,1.01726,0.82242,1.25857,0.63388,0.5059,0.50101,0.22675,2.47339,2.49536,2.746,0.000473064,0.000473064,0.000473064
147,876.125,1.01847,0.8232,1.26634,0.61748,0.54558,0.51105,0.27737,2.41333,2.37124,2.75693,0.000468664,0.000468664,0.000468664
148,881.954,0.96348,0.80564,1.22254,0.55029,0.51701,0.4995,0.28065,2.40385,2.37883,2.73266,0.000464265,0.000464265,0.000464265
